Multi-Target Calibration Results
Mode,multi_target
Timestamp,2025-11-21T12:24:54.734169
Number of Targets,9
Number of Loops,4
Settling Time (s),1.5
Home X,0.2
Home Y,0.0
Home Z,0.1

TARGET DEFINITIONS
Index,Name,X,Y,Z,Description
1,1,0.2,0.2,0.4,1
2,2,0.2,0.0,0.4,2
3,3,0.2,-0.2,0.4,3
4,4,0.0,0.2,0.4,4
5,5,0.0,0.0,0.4,5
6,6,0.0,-0.2,0.4,6
7,7,-0.2,0.2,0.4,7
8,8,-0.2,0.0,0.4,8
9,9,-0.2,-0.2,0.4,9

ALL MEASUREMENTS
Measurement #,Loop,Target Index,Target Name,Target X,Target Y,Target Z,Actual X,Actual Y,Actual Z,Error X,Error Y,Error Z,Euclidean Error
11,2,2,2,0.2,0.0,0.4,0.21048499643802643,0.00016700000560376793,0.3890500068664551,-0.010484996438026417,-0.00016700000560376793,0.010949993133544944,0.015161312243073807
12,2,3,3,0.2,-0.2,0.4,0.2095929980278015,-0.20027700066566467,0.38921400904655457,-0.009592998027801503,0.00027700066566466175,0.010785990953445457,0.014437449268412667
13,2,4,4,0.0,0.2,0.4,0.010223000310361385,0.20011399686336517,0.38890498876571655,-0.010223000310361385,-0.00011399686336516224,0.01109501123428347,0.015087147010597546
14,2,5,5,0.0,0.0,0.4,0.01032199990004301,-0.0,0.38903701305389404,-0.01032199990004301,0.0,0.01096298694610598,0.015057581635740117
15,2,6,6,0.0,-0.2,0.4,0.010085999965667725,-0.20074999332427979,0.3886899948120117,-0.010085999965667725,0.000749993324279774,0.011310005187988303,0.01517254436955898
16,2,7,7,-0.2,0.2,0.4,-0.19010700285434723,0.199412003159523,0.38937801122665405,-0.009892997145652782,0.0005879968404770008,0.01062198877334597,0.014527345879732914
17,2,8,8,-0.2,0.0,0.4,-0.19004899263381958,0.00038499999209307134,0.3889850080013275,-0.009951007366180431,-0.00038499999209307134,0.011014991998672508,0.014849270060393818
18,2,9,9,-0.2,-0.2,0.4,-0.19019100069999695,-0.2009650021791458,0.3884330093860626,-0.009808999300003063,0.0009650021791458019,0.0115669906139374,0.01519680783375682
19,3,1,1,0.2,0.2,0.4,0.21003499627113342,0.19981899857521057,0.38914498686790466,-0.010034996271133412,0.0001810014247894398,0.010855013132095359,0.01478395149394775
20,3,2,2,0.2,0.0,0.4,0.2098969966173172,-0.0002969999914057553,0.38930100202560425,-0.009896996617317189,0.0002969999914057553,0.010698997974395774,0.014577630421100947
