Calibration Results
Timestamp,2025-11-18T10:49:51.445747
Target X,0.2
Target Y,-0.1
Target Z,-0.1
Home X,0.2
Home Y,0.0
Home Z,0.1
Iterations,20

TARGET POSITION MEASUREMENTS
Iteration,Move Success,Pose Success,Actual X,Actual Y,Actual Z,Error X,Error Y,Error Z,Euclidean Error
15,True,True,0.21013200283050537,-0.00015300000086426735,0.08891099691390991,-0.01013200283050536,0.00015300000086426735,0.011089003086090093,0.015021547183993688
16,True,True,0.20990000665187836,0.0001250000059371814,0.0882830023765564,-0.009900006651878346,-0.0001250000059371814,0.011716997623443609,0.015339941004335805
17,True,True,0.20972399413585663,-1.1000000085914508e-05,0.08929400146007538,-0.009723994135856617,1.1000000085914508e-05,0.010705998539924627,0.014462869275874826
18,True,True,0.2097949981689453,-0.00039500001003034413,0.08927799761295319,-0.009794998168945301,0.00039500001003034413,0.01072200238704682,0.014527881790729282
19,True,True,0.21032899618148804,0.0003260000084992498,0.0891909971833229,-0.010328996181488026,-0.0003260000084992498,0.010809002816677099,0.014954229502507617
20,True,True,0.2097949981689453,-0.00026500000967644155,0.08833599835634232,-0.009794998168945301,0.00026500000967644155,0.01166400164365769,0.015233553376609792

STATISTICS

TARGET POSITION STATISTICS
Metric,Mean,Std Dev,Min,Max,RMS
ERROR_X,-0.00997215062379836,0.00032359752786237877,-0.010442006587982167,-0.009370002150535572,0.009977399632357152
ERROR_Y,-5.324967205525e-05,0.00032029781715534874,-0.0007050022482872065,0.00042700171470641535,0.0003246940394409372
ERROR_Z,0.010676999390125268,0.00023487911713546044,0.010394001007080073,0.011272998154163355,0.010679582584371064
EUCLIDEAN_ERROR,0.014617502148821298,0.00018985454594375704,0.014212748566403519,0.014917193455194431,0.014618735028018354

HOME POSITION STATISTICS
Metric,Mean,Std Dev,Min,Max,RMS
ERROR_X,-0.009962201118469228,0.00021096524023695096,-0.010328996181488026,-0.009601998329162587,0.009964434628086922
ERROR_Y,0.0001651500018851948,0.00022307650708410916,-0.00039599998854100704,0.00039500001003034413,0.00027755657285592506
ERROR_Z,0.01119724996387959,0.0002925006772115983,0.010705998539924627,0.011716997623443609,0.011201069743545511
EUCLIDEAN_ERROR,0.014992219980792018,0.0002535715990892372,0.014462869275874826,0.015339941004335805,0.01499436422487876
